combo,best_gap,percentile_norm_range_
Z_score_norm+percentile_norm,0.02695952594874429,98.76833933767236
bilateral+Z_score_norm,0.021338724168912915,78.73889375675077
bilateral+msrcr+Z_score_norm,0.02870031660462924,97.29994639258697
illumination_comp,0.0355404740512556,12.633895803134406
illumination_comp+local_contrast,0.01641584306678634,10.318030414994851,1.495958285097589
illumination_comp+adaptive_gamma,-0.014568091387498483,16.283237941160298
msrcr+local_contrast,-0.008401788388311293,1.999658717063922
clahe+adaptive_gamma,0.049916035596628605,3.756571026050584
non_local_means+msrcr,0.025817717023916442,15
non_local_means+msrcr+adaptive_gamma,0.04584616865614155,15
non_local_means+illumination_comp+clahe,0.041284281008000634,15,86.87010715814864,1.936631475140609
